"rep","rand","dens","Dist","richness","order","nind","comp","species","SD","ID","trayID"
1,"det","add",2.4,1,"V1",120,1,"sp_1",0.5,"1.det.add.1",1
1,"det","add",2.4,1,"V2",0,0.3,"sp_2",0.5,"1.det.add.1",1
1,"det","add",2.4,1,"V3",0,0.2,"sp_3",0.5,"1.det.add.1",1
1,"det","add",2.4,1,"V4",0,0.1,"sp_4",0.5,"1.det.add.1",1
1,"det","add",2.4,1,"V5",0,0,"sp_5",0.5,"1.det.add.1",1
1,"det","add",2.4,1,"V6",0,0,"sp_6",0.5,"1.det.add.1",1
1,"det","sub",1.75,1,"V1",224,1,"sp_1",0.5,"1.det.sub.1",2
1,"det","sub",1.75,1,"V2",0,0.3,"sp_2",0.5,"1.det.sub.1",2
1,"det","sub",1.75,1,"V3",0,0.2,"sp_3",0.5,"1.det.sub.1",2
1,"det","sub",1.75,1,"V4",0,0.1,"sp_4",0.5,"1.det.sub.1",2
1,"det","sub",1.75,1,"V5",0,0,"sp_5",0.5,"1.det.sub.1",2
1,"det","sub",1.75,1,"V6",0,0,"sp_6",0.5,"1.det.sub.1",2
1,"det","sub",1.75,2,"V1",130,1,"sp_1",0.5,"1.det.sub.2",3
1,"det","sub",1.75,2,"V2",94,0.3,"sp_2",0.5,"1.det.sub.2",3
1,"det","sub",1.75,2,"V3",0,0.2,"sp_3",0.5,"1.det.sub.2",3
1,"det","sub",1.75,2,"V4",0,0.1,"sp_4",0.5,"1.det.sub.2",3
1,"det","sub",1.75,2,"V5",0,0,"sp_5",0.5,"1.det.sub.2",3
1,"det","sub",1.75,2,"V6",0,0,"sp_6",0.5,"1.det.sub.2",3
1,"det","sub",1.75,4,"V1",80,1,"sp_1",0.5,"1.det.sub.4",4
1,"det","sub",1.75,4,"V2",58,0.3,"sp_2",0.5,"1.det.sub.4",4
1,"det","sub",1.75,4,"V3",47,0.2,"sp_3",0.5,"1.det.sub.4",4
1,"det","sub",1.75,4,"V4",39,0.1,"sp_4",0.5,"1.det.sub.4",4
1,"det","sub",1.75,4,"V5",0,0,"sp_5",0.5,"1.det.sub.4",4
1,"det","sub",1.75,4,"V6",0,0,"sp_6",0.5,"1.det.sub.4",4
1,"det","sub",1.75,6,"V1",65,1,"sp_1",0.5,"1.det.sub.6",5
1,"det","sub",1.75,6,"V2",45,0.3,"sp_2",0.5,"1.det.sub.6",5
1,"det","sub",1.75,6,"V3",37,0.2,"sp_3",0.5,"1.det.sub.6",5
1,"det","sub",1.75,6,"V4",32,0.1,"sp_4",0.5,"1.det.sub.6",5
1,"det","sub",1.75,6,"V5",26,0,"sp_5",0.5,"1.det.sub.6",5
1,"det","sub",1.75,6,"V6",19,0,"sp_6",0.5,"1.det.sub.6",5
1,"det","add",2.4,1,"V1",120,1,"sp_1",0.5,"1.det.add.1",6
1,"det","add",2.4,1,"V2",0,0.3,"sp_2",0.5,"1.det.add.1",6
1,"det","add",2.4,1,"V3",0,0.2,"sp_3",0.5,"1.det.add.1",6
1,"det","add",2.4,1,"V4",0,0.1,"sp_4",0.5,"1.det.add.1",6
1,"det","add",2.4,1,"V5",0,0,"sp_5",0.5,"1.det.add.1",6
1,"det","add",2.4,1,"V6",0,0,"sp_6",0.5,"1.det.add.1",6
1,"det","sub",1.4,1,"V1",340,1,"sp_1",0.5,"1.det.sub.1",7
1,"det","sub",1.4,1,"V2",0,0.3,"sp_2",0.5,"1.det.sub.1",7
1,"det","sub",1.4,1,"V3",0,0.2,"sp_3",0.5,"1.det.sub.1",7
1,"det","sub",1.4,1,"V4",0,0.1,"sp_4",0.5,"1.det.sub.1",7
1,"det","sub",1.4,1,"V5",0,0,"sp_5",0.5,"1.det.sub.1",7
1,"det","sub",1.4,1,"V6",0,0,"sp_6",0.5,"1.det.sub.1",7
1,"det","sub",1.4,2,"V1",198,1,"sp_1",0.5,"1.det.sub.2",8
1,"det","sub",1.4,2,"V2",142,0.3,"sp_2",0.5,"1.det.sub.2",8
1,"det","sub",1.4,2,"V3",0,0.2,"sp_3",0.5,"1.det.sub.2",8
1,"det","sub",1.4,2,"V4",0,0.1,"sp_4",0.5,"1.det.sub.2",8
1,"det","sub",1.4,2,"V5",0,0,"sp_5",0.5,"1.det.sub.2",8
1,"det","sub",1.4,2,"V6",0,0,"sp_6",0.5,"1.det.sub.2",8
1,"det","sub",1.4,4,"V1",122,1,"sp_1",0.5,"1.det.sub.4",9
1,"det","sub",1.4,4,"V2",88,0.3,"sp_2",0.5,"1.det.sub.4",9
1,"det","sub",1.4,4,"V3",71,0.2,"sp_3",0.5,"1.det.sub.4",9
1,"det","sub",1.4,4,"V4",59,0.1,"sp_4",0.5,"1.det.sub.4",9
1,"det","sub",1.4,4,"V5",0,0,"sp_5",0.5,"1.det.sub.4",9
1,"det","sub",1.4,4,"V6",0,0,"sp_6",0.5,"1.det.sub.4",9
1,"det","sub",1.4,6,"V1",98,1,"sp_1",0.5,"1.det.sub.6",10
1,"det","sub",1.4,6,"V2",69,0.3,"sp_2",0.5,"1.det.sub.6",10
1,"det","sub",1.4,6,"V3",57,0.2,"sp_3",0.5,"1.det.sub.6",10
1,"det","sub",1.4,6,"V4",48,0.1,"sp_4",0.5,"1.det.sub.6",10
1,"det","sub",1.4,6,"V5",39,0,"sp_5",0.5,"1.det.sub.6",10
1,"det","sub",1.4,6,"V6",29,0,"sp_6",0.5,"1.det.sub.6",10
1,"det","add",2.4,1,"V1",120,1,"sp_1",0.5,"1.det.add.1",11
1,"det","add",2.4,1,"V2",0,0.3,"sp_2",0.5,"1.det.add.1",11
1,"det","add",2.4,1,"V3",0,0.2,"sp_3",0.5,"1.det.add.1",11
1,"det","add",2.4,1,"V4",0,0.1,"sp_4",0.5,"1.det.add.1",11
1,"det","add",2.4,1,"V5",0,0,"sp_5",0.5,"1.det.add.1",11
1,"det","add",2.4,1,"V6",0,0,"sp_6",0.5,"1.det.add.1",11
